Id;Floor;HouseFloor;HouseYear;house_fl_good;house_fl_nonan;house_hy_good
13232;14;25;2018;1;1;0
5594;16;25;2015;1;1;0
7944;23;25;2018;1;1;0
7979;20;25;2017;1;1;0
13727;10;25;2013;1;1;0
5650;20;25;2018;1;1;0
3171;17;25;2015;0;0;0
370;25;27;2015;0;1;0
6391;5;24;2017;1;1;0
11422;2;25;2015;1;1;0
13917;17;25;2015;1;1;0
13007;3;24;2018;1;1;0
13644;19;25;2015;1;0;0
464;15;25;2017;1;1;0
16253;9;25;2015;1;1;0
8343;3;25;2018;1;1;0
7796;14;25;1983;1;1;0
7694;13;24;2014;1;1;0
5996;10;25;2015;1;1;0
3040;10;25;2019;1;1;0
7983;20;24;2014;1;1;0
1516;6;25;2015;1;1;0
11674;20;25;2014;1;1;0
11167;16;24;2007;1;1;0
3584;21;25;2012;1;1;0
16211;25;25;2018;1;1;0
4311;25;25;2017;1;1;0
15270;15;40;2013;1;1;0
5236;6;25;2017;1;1;0
15318;18;25;2001;1;1;0
1033;18;25;2007;1;1;0
12247;6;25;2017;1;1;0
14756;10;24;2016;1;1;0
8670;19;24;2016;1;1;0
7767;11;25;2011;1;0;0
5861;11;25;2015;1;1;0
12311;8;24;2017;1;1;0
1207;16;24;2007;1;1;0
1715;11;25;2015;1;1;0
14488;9;25;2015;1;1;0
3298;32;40;2015;1;1;0
10579;20;25;2018;1;1;0
5580;16;25;2015;1;1;0
8901;1;25;2016;0;1;0
9021;25;26;2017;0;1;0
12637;10;24;2012;1;1;0
15498;1;25;2016;0;1;0
9367;16;25;2015;1;1;0
14041;24;25;2015;1;1;0
5734;15;25;2016;1;1;0
5104;24;25;2015;1;1;0
14355;16;24;2017;1;1;0
14621;25;25;2015;1;1;0
13114;11;25;2017;1;1;0
5163;9;25;2019;1;1;0
15251;16;24;2005;0;0;0
7074;21;25;2017;1;1;0
4899;1;24;2019;0;1;0
16305;6;24;2014;1;1;0
1479;13;25;1983;1;1;0
13597;8;25;2018;1;1;0
13200;12;25;2014;1;1;0
9185;19;24;2014;1;1;0
13718;8;25;2019;1;1;0
8016;33;40;2015;1;1;0
2624;15;24;2010;1;1;0
8513;18;25;2018;1;1;0
6993;7;25;2018;1;1;0
1471;25;27;2002;0;1;0
981;19;25;2017;1;1;0
9319;17;25;2008;1;1;0
10157;24;24;2014;1;1;0
15969;11;24;2018;1;1;0
13351;17;25;2016;1;1;0
10300;16;25;2018;1;1;0
1922;22;25;2016;1;1;0
10015;19;25;2015;1;1;0
9268;6;25;2018;1;1;0
6721;17;24;2017;1;1;0
5828;9;25;1983;1;1;0
14121;17;24;2007;1;1;0
15831;25;25;2017;1;1;0
540;24;25;2018;1;1;0
3781;23;25;2014;1;1;0
7430;5;25;2015;1;1;0
5609;21;24;2017;1;1;0
14027;25;25;2015;1;1;0
8369;24;25;2018;1;1;0
10274;15;25;2017;1;1;0
1091;17;24;2015;1;1;0
13997;12;25;2015;1;0;0
12498;16;25;2007;1;1;0
1491;24;25;2015;1;1;0
7954;18;25;2014;1;1;0
5678;7;25;2018;1;1;0
7284;14;24;2016;1;1;0
11428;15;25;2017;1;1;0
5015;16;25;2011;1;1;0
14254;2;25;2015;1;1;0
13983;21;25;2015;1;1;0
1584;9;25;2015;1;1;0
14425;7;25;2017;1;1;0
6643;2;24;2014;1;1;0
984;16;25;2018;1;1;0
6366;6;25;2017;1;1;0
14062;8;25;2017;1;1;0
12796;1;24;2016;0;1;0
16597;18;25;2016;1;1;0
2711;3;25;2015;1;1;0
14322;24;24;2020;1;1;0
9046;8;25;2015;1;1;0
1144;12;25;2015;1;1;0
14900;8;24;2007;1;1;0
3141;12;25;2017;1;1;0
15952;11;25;2015;1;1;0
11196;14;25;2015;1;1;0
5976;25;26;2014;0;1;0
9744;18;24;2014;1;1;0
14895;16;22;1977;1;1;0
260;7;24;2007;1;1;0
15354;6;14;2004;1;1;0
16327;24;25;2017;1;1;0
9988;18;25;2015;1;1;0
16494;5;24;2014;1;1;0
7657;1;28;2018;0;1;0
9159;10;25;2015;1;1;0
1463;4;25;1983;1;1;0
2781;4;25;2016;1;1;0
7865;18;25;2014;1;1;0
6880;18;25;2015;1;1;0
1404;13;25;2016;1;1;0
8722;16;25;2015;1;1;0
4192;11;25;2014;1;1;0
12395;12;25;2015;1;1;0
2107;20;25;2018;1;1;0
659;9;24;2006;1;1;0
2965;24;25;2008;0;1;0
4472;4;25;2018;1;1;0
8442;16;25;2015;1;1;0
8938;9;25;2016;1;1;0
15629;21;24;2017;1;1;0
11668;4;25;2018;1;1;0
6467;12;24;2018;1;1;0
3866;22;24;2015;1;1;0
15349;10;24;2017;1;1;0
11642;5;24;2010;1;1;0
3891;16;24;2014;1;1;0
16620;8;24;2018;1;1;0
14514;12;24;2017;1;1;0
2377;25;30;2015;1;1;0
4167;21;25;2015;1;1;0
9885;6;25;2018;1;1;0
11863;8;25;2014;1;1;0
6311;12;25;2017;1;1;0
1939;10;25;2017;1;1;0
11226;2;24;2017;1;1;0
12002;20;25;2015;1;1;0
1349;9;25;2012;1;1;0
9668;22;24;2014;1;1;0
8326;16;25;2015;1;1;0
7230;5;25;2015;1;1;0
5496;12;25;2018;1;1;0
6871;17;25;2018;1;1;0
10196;8;25;1983;1;1;0
8626;19;24;2014;1;1;0
1546;13;25;1983;1;1;0
13348;15;25;2014;1;1;0
7874;18;24;2018;1;1;0
13846;3;25;2018;1;1;0
9999;24;25;2015;1;1;0
2222;3;24;2017;1;1;0
16142;15;25;2011;1;1;0
11388;24;25;2014;1;0;0
13743;13;25;2011;1;0;0
7832;24;25;2019;1;1;0
4561;12;24;2014;1;1;0
15923;17;25;2014;0;0;0
2342;21;25;2017;1;1;0
1637;24;25;2015;1;1;0
5628;3;24;2007;1;1;0
5872;14;25;2015;1;1;0
3264;22;24;2014;1;1;0
14302;6;25;2017;1;1;0
1545;22;25;2018;1;1;0
1748;22;24;2018;0;1;0
11691;17;25;2016;1;1;0
8418;17;25;2015;1;1;0
4954;9;25;2015;1;1;0
6318;22;25;2015;1;1;0
7655;14;25;2013;1;1;0
9573;6;25;2015;1;1;0
10396;24;25;2018;1;1;0
4409;24;25;2018;1;1;0
1317;25;25;2016;1;1;0
4587;5;24;2006;1;1;0
4921;10;25;2018;1;1;0
16446;10;25;2014;1;1;0
