pos;city;address;area;HouseYear;HouseFloor
1;Москва;р-н. Ленинский, п. Воскресенское, д. 5;10254.90;2015;14
2;Москва;р-н. Наро-Фоминский, п. Марушкинское, д. Марушкино, д. 13;9598.70;1982;12
3;Москва;ул. Новая, д. 21;1807.21;1979;3
4;Москва;г. Зеленоград, д. 161 (им.В.Путина);4267.00;1972;12
5;Москва;г. Зеленоград, к. 301А;14707.00;1966;9
6;Москва;г. Зеленоград, к. 301Б;8822.00;1966;9
7;Москва;г. Зеленоград, к. 106;14400.00;2001;14
8;Москва;г. Зеленоград, к. 107Г;3511.00;1997;10
9;Москва;г. Зеленоград, к. 109;3781.00;2003;10
10;Москва;г. Зеленоград, к. 302А;8849.00;1967;9
11;Москва;г. Зеленоград, к. 302Б;8855.00;1966;9
12;Москва;г. Зеленоград, к. 139;12655.00;2002;14
13;Москва;г. Зеленоград, к. 141;7839.00;2003;14
14;Москва;г. Зеленоград, к. 145;2607.00;1961;9
15;Москва;ул. Типографская, д. 12;2825.00;1977;5
16;Москва;ул. Типографская, д. 14;4476.00;1986;5
17;Москва;ул. Типографская, д. 2;4579.00;1976;5
18;Москва;ул. Типографская, д. 24;4427.00;1983;5
19;Москва;ул. Типографская, д. 4;3204.00;1969;5
20;Москва;ул. Типографская, д. 6;3186.00;1969;5
21;Москва;г. Зеленоград, к. 162;16913.00;1997;12
22;Москва;г. Зеленоград, к. 147;2592.00;1961;9
23;Москва;г. Зеленоград, к. 164;8453.00;1971;14
24;Москва;г. Зеленоград, к. 165;4233.00;1974;14
25;Москва;г. Зеленоград, к. 166;8565.00;1971;14
26;Москва;г. Зеленоград, к. 200А;7104.00;1970;9
27;Москва;г. Зеленоград, к. 200Б;7101.00;1970;9
28;Москва;г. Зеленоград, к. 200В;7105.00;1970;9
29;Москва;г. Зеленоград, к. 200Г;7067.00;1970;9
30;Москва;г. Зеленоград, к. 231;2772.00;1965;9
31;Москва;г. Зеленоград, к. 232;3076.00;1965;9
32;Москва;г. Зеленоград, к. 234;2453.00;1997;14
33;Москва;г. Зеленоград, к. 235;6190.00;1996;7
34;Москва;г. Зеленоград, к. 237;5208.00;1997;14
35;Москва;г. Зеленоград, к. 239;7374.00;2002;10
